"stage","file","function","lines","information","origin","enters_inference_path","role","leakage_class","evidence"
"A01 cohort construction","frontend/scene_manifest.py","main","57-220","true vehicle keys (<=8 per episode), episode split, prediction grid, source states","raw NGSIM CSV","no","simulator and label side only","L0","data/f01_source/source_states.npy is saved for simulator/label use; check_symbol_dataset fixtures reject any extra identity field in model inputs"
"Episode load","frontend/echo_source.py","SourceEpisodes.__init__","24-33","source tracks, episode list, station geometry","data/f01_source + reports/f01a","no","simulation source access","L0","loaded only inside generation/packing workers"
"Deadline target enumeration","frontend/echo_source.py","at_time","35-50","exact set of present targets, exact count, exact slot index, true [x,y,vx,vy]","source_states row with <=100 ms hold/extrapolation","yes","oracle target list + identity + state for generation and output routing","L3 + L0","generate_symbol_gpu.py:31-34 consumes states and slots and flattens (frame,slot) into the estimation batch"
"Echo synthesis","frontend/symbol_level_gpu.py","synthesize_batch","50-94","true position/velocity used for delay and Doppler phase; per-target random X, phase, noise","at_time states","yes (simulation only)","waveform generation","L0","truth enters only the channel phase; estimate_batch never receives states"
"Seed derivation","frontend/generate_symbol_gpu.py","measurement_seed","10-12","deterministic seed from (episode,frame,slot); no true state used","episode/frame/slot identifiers","yes","RNG routing for reproducibility","L3-adjacent, no state value","identical noise across SNR measured: max noise_rms spread over 9 SNR levels = 2.2e-16 (tables/probe_snr_response.csv)"
"Estimation call","frontend/symbol_level_gpu.py","estimate_batch","263-337","divided per-target symbols, station geometry, declared bounds, search config; no truth and no identity parameters","observation only","yes","parameter estimation","no truth leakage inside this function","docstring line 264 'without source state or target identity'; initial position computed from measured coarse ranges (lines 296-301) and grid search centered on that estimate"
"Target-to-signal binding","frontend/generate_symbol_gpu.py","run_device","27-52","each produced estimate is written to the oracle slot of the same vehicle","at_time slots","yes","replaces target separation and cross-station association","L3","state_hat[frame_index, slot_index] = values at line 52; no association module exists in this path"
"detected / track_exists","frontend/generate_symbol_gpu.py","run_device","41,52","detected=True assigned for every present target; never derived from a detector or threshold","oracle presence","yes (model input)","existence flag surfaced as detection","L3","detected == track_exists in all 816 audited train+V_select sequences (tables/detected_mask_audit.csv, tables/sequence_outputs.csv)"
"CPU adapter fallback","frontend/run_symbol_frontend.py","estimate_frame","27-39","hard-coded detected=True for each known target; same structure as GPU path","oracle presence","not used for F01-D (CPU generation disabled at pack_symbol_dataset.py:229-230)","legacy diagnostic adapter","L3","line 37 known.append(dict(...,exists=True,detected=True,...))"
"Search domain bounds","configs/symbol_frontend.json","xy_bounds, v_bounds","28-48","scene extent = retained training position extrema +5 m; velocity domain +/-40 m/s","training source rows","yes","global search domain","L1","bounds_source field declares the construction; not target-level"
"Search refinement window","configs/symbol_frontend.json","search","63-71","half width 3 m and 3 m/s around the data-driven rough estimate; fine step 0.025","declared prior","yes","local refinement","no target-level truth leakage","center is the observed coarse estimate (symbol_level_gpu.py:296-302); no truth-centered initializer, proposal or pruning exists"
"Packing window","frontend/pack_symbol_dataset.py","pack_history","137-151","20-frame causal slices of cached estimates and masks","cached estimates","yes","input assembly","none","pure index/copy transform; never reads source rows"
"Future labels","frontend/pack_symbol_dataset.py","build_labels","154-174","raw future xy at 0.1..2.0 s and label_valid","source tracks","no","supervision and evaluation sidecar","L0","labels stored in labels/{split}.npz; SharedPredictionInputs reads only inputs/{split}_snr_*.npz"
"Model input loader","frontend/symbol_dataset.py","SharedPredictionInputs","44-60","state, causal masks, clock only","cache","yes","model interface","none","read_inputs enforces the 4-field whitelist (lines 16-27); check_symbol_dataset verifies identity fields are rejected"
"Legacy shared-echo path","frontend/ofdm_echo.py","echo_cube","161-175","sum of all target echoes + one shared receiver noise; truth used for simulation","at_time states","not in the current cache path","legacy F01-B/C detector input","L0 (unused)","docstring line 164; summation loop lines 138-143; consumed only by run_frontend.py"
"Legacy detector (CFAR/JPDA)","frontend/detector.py","detect","1,64,170","CA-CFAR peak extraction with threshold and NMS; anonymous, no truth","observation","not in the current cache path","legacy detection and association","none","detector.py and jpda.py are not imported by generate_symbol_gpu/symbol_level_gpu/pack_symbol_dataset/symbol_dataset"
