path,bytes,tracked,on_disk,category,purpose,recommendation,mtime
ENVIRONMENT.md,1601,True,True,A,public static project documentation,keep,
QGNN预测优势优化修订稿.md,18988,True,True,D,historical Stage-1 planning document,remove from Stage-2 tree; preserved by Git history/tags,
README.md,7852,True,True,A,public static project documentation,keep,
ROADMAP.md,41297,True,True,B,status/plan documentation superseded by code/configs/reports/commit history,delete from working tree; facts live in code/configs/reports,
amendment_log.md,26535,True,True,B,status/plan documentation superseded by code/configs/reports/commit history,delete from working tree; facts live in code/configs/reports,
archive/notes/代码索引与复现说明.md,5228,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/notes/原归档README.md,1358,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/notes/完整文件归档说明.md,3839,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/packages/BUNDLE_SHA256.txt,297,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/previous_organization/README.md,2565,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/previous_organization/整理记录.md,3729,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/previous_organization/文件结构与职能说明.md,11477,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/source_files/root_documents/第二研究点_不确定性感知双图多目标ISAC方案.md,26671,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/source_files/root_documents/第二研究点_代码实现与阶段实验结果.md,5772,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/source_files/root_documents/第二研究点_多SNR对比消融与轨迹实验记录.md,13921,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/source_files/root_documents/第二研究点_对比实验结果与分析.md,5448,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/source_files/root_documents/第二研究点_当前进度_模型流程与论文写作记录.md,31206,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/source_files/root_documents/第二研究点_最终结果清单.md,3240,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
archive/taskbook_history/2026-09-11_GPT-6-pro研究交接与深度调研任务书.md,24191,True,True,D,explicit historical archive material,keep only via Git history/tags; Stage-2 tree does not need it,
