paper,year,carrier_frequency,bandwidth,K_active_subcarriers,N_sensing_symbols,CPI_sensing_duration,array_elements,SNR_definition,SNR_injection_position,noise_definition,Tx_power_normalization,per_subcarrier_normalization,total_tx_power_fixed,reported_snr_sweep,RCS_model,path_loss,beam_gain_loss,clutter,multipath,shadowing,detector,reported_detection_estimation_trend,official_code,source_note
"3GPP TR 38.901 Rel-19 (sensing extension)",2024-2026,scenario dependent,N/A,PRS resource grid,PRS symbols per resource,PRS periodicity,N/A,N/A,N/A,thermal noise model,N/A,N/A,N/A,RCS/path-loss model definitions only,vehicle single/multi scatterer tables; lognormal sigma_S=3.41 dB,large-scale path-loss models,directional RCS gain,background clutter models,NLOS models,shadow fading model,N/A,N/A,no,CODE INFERENCE via NIST 5GNRad getSigmaRCS.m and computePathLoss.m (commit e10114e)
"NIST 5GNRad (Blandino et al., MILCOM 2025; doi 10.1109/MILCOM64451.2025.11310754)",2025-2026,example dependent (UNKNOWN fc; SCS 30 kHz in uma_trp1 example),systemBw default 100e6 (configureSimulation),PRS comb-2; NumRB default 66 (example grid 273; bsConfig third field 25),NumPRSSymbols 2 (example) / 4 (default); x numberSensingSymbols,PRS resource-set periodicity slot stepping,from rxAntennaModel (UNKNOWN),SNR_dB=10log10(P_tx/(kB*T0*systemBw*NF)),AWGN added to time-domain rx waveform with variance 1/snrvar,thermal kT0*B*NF,txPower dBm (default 52),no PRS power boosting by default (comb-2 -> ~1/2 RE and 2-4 of 14 symbols),yes (txPower+systemBw+NF),txPower/CFAR sweeps; SNR axis defined by link budget,3GPP 38.901 RCS via getSigmaRCS (vehicle base sigmaM=-20 dBsm single + angular gain + lognormal sigma_S=3.41 dB),3GPP RMa/UMa/UMi AV path loss,LOS/NLOS and tx/rx antenna models; beamspace FFT / Bartlett scan,optional backgroundChannel MPC,targetChannel MPC mode,shadow fading sigma_SF,NIST cfar2D + pick_peaks_nms + DBSCAN + DoA + geometry,detStats.csv and error.csv per scenario (TP/FN/FP, position/velocity errors),yes,"CODE INFERENCE: precompute.m:132-138, getRxWaveform.m:98-101, estimateChannel.m:115, prsConfig/bsConfig/simulationConfig examples"
"Favarelli et al., ICC 2023 (multi-BS JSC + fusion center)",2023,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,multi-BS cooperation,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,system architecture and state tracking; extended targets,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,fusion center + extended multi-target tracking (PF/MHT-family),system-level detect-and-track evidence,no,"abstract-level facts from IEEE Xplore 10279310 and unibo postprint"
"Wei et al., IEEE TVT 2024 (cited source of current waveform model)",2024,24 GHz (from our config),93.1 MHz (from our config),256 (our V1; paper reference K=128 per config),256 (our V1),3.168 ms (our V1),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,no,"configs/symbol_frontend.json cites DOI 10.1109/TVT.2023.3304856; paper fields not verified in this round"
"Tenreiro Arias, ISAC Simulation Framework 5G (bachelor thesis + repo)",2026,30 GHz,50 MHz,62 RB; DM-RS REs (K active UNKNOWN),UNKNOWN,UNKNOWN,8-element ULA Tx / 8-element ULA Rx,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,bistatic/monostatic geometry,antenna arrays,OSM static scatterers,OSM-derived street canyon,N/A,2D CFAR Range-AoA + DBSCAN + JIPDA,detection/tracking metrics in README; velocity from tracker state,no license declared -> reference only,"commit d643785; README parameters table"
"MathWorks, Integrated Sensing and Communication II (comm-centric MIMO-OFDM example)",2023-2025,MIMO-OFDM example,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MIMO arrays,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,static component suppression,channel simulation,UNKNOWN,Range-AoA + 2D CFAR + DBSCAN + tracking,example metrics,code in toolbox docs,official example referenced by the jose framework
"Sturm & Wiesbeck, OFDM radar waveform design and signal processing (foundational)",2011,UNKNOWN,UNKNOWN,N subcarriers,N symbols,CPI = N*Tsymbol,UNKNOWN,per-RE matched-filter SNR = E/N0,noise added to receive signal,noise PSD,unit-power QPSK/data symbols,none,total waveform power fixed,symbolic/analytical,UNKNOWN,none assumed,none,none,none,none,2D FFT range-Doppler,matched-filter gain = total signal energy / noise PSD (independent of subcarrier split),no,foundational theory (pre-2023 exception allowed)
"Delay-Doppler Sensing Performance Analysis for MIMO-OFDM ISAC (arXiv 2609.00559)",2026,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MIMO,UNKNOWN,UNKNOWN,UNKNOWN,communication waveform power,data-bearing OFDM symbols,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,delay-Doppler analysis,communication symbol randomness shapes RDM; performance analysis,UNKNOWN,"abstract fetched 2026; arXiv eess.SP"
"D-Band Phase-Noise Aware OFDM ISAC (arXiv 2509.08504)",2025,130 GHz,480 kHz SCS numerology,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,oscillator phase noise injected,phase-noise model + thermal,known 16-QAM symbols on OFDM grid,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FFT-based radar processing,"PN causes range RMSE floor 0.04-0.05 m, velocity floor 0.12-0.18 m/s; PSLR ~ -6 dB",no,"abstract fetched 2026-09; relevant as non-ideality candidate (phase noise)"
"Sensing-Oriented Adaptive Resource Allocation for OFDM-ISAC (IEEE 11271832)",2025,UNKNOWN,UNKNOWN,resource allocation across subcarriers/symbols,UNKNOWN,UNKNOWN,UNKNOWN,closed-form sensing SNR derived,UNKNOWN,UNKNOWN,explicit per-resource power allocation,explicit resource occupancy optimization,yes (allocation budget),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,resource allocation vs delay/Doppler resolution/PSL/SNR,UNKNOWN,"title/abstract fetched; resource occupancy directly relevant to Candidate B"
"MIMO-OFDM ISAC Waveform Design for RD Sidelobe Suppression (IEEE 10771629 + GitHub)",2024,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MIMO,UNKNOWN,UNKNOWN,UNKNOWN,waveform optimization (constant modulus),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RDM processing,"ambiguity function, RDM, Pd vs weak-target RCS, Range RMSE vs sensing SNR reported in code repo",yes (GitHub Lipskd/MIMO-OFDM-ISAC-Waveform-Design),"abstract + repo README fetched"
"NIST 3GPP contributions on ISAC performance evaluation (R1-2505684, R1-2508883, R1-2600846)",2025-2026,3GPP bands,3GPP configurations,PRS based,PRS based,PRS periodicity,3GPP arrays,3GPP link-budget evaluation,3GPP evaluation methodology,3GPP thermal noise,normative Tx power assumptions,PRS mapping rules,yes,3GPP evaluation SNR points,3GPP RCS,3GPP path loss,3GPP antenna models,3GPP models,3GPP models,3GPP models,3GPP evaluation framework,standards evaluation,no (contribution documents),"cited in NIST 5GNRad README publications section"
