branch_name,head_sha,last_commit_time,last_commit_message,ancestor_of_main,ancestor_of_stage2,unique_commits_vs_main,unique_commits_vs_stage2,commits_behind_stage2,module,suggested_action
f01e-audit-08,03b3ca2c4dbb080b0e0e3bee27b6ab8c2dbc3487,2026-09-16 15:58:26 +0800,Audit F01E tail attribution and label integrity,False,True,17,0,7,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
f01e-finalize-11,0e592367fbcacaf616a740be3e1f4782eb557680,2026-09-16 17:48:29 +0800,Complete reproducible F01E final freeze,False,True,21,0,3,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
f01e-identity-audit-10,30f899a8b05be9ec0b5b06364ce53bb935e11fc8,2026-09-16 17:07:56 +0800,Audit F01E continuous-track identity switches,False,True,19,0,5,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
f01e-label-fix-09,a6fae04291dd6e96c93f58f69977e69e09d57d27,2026-09-16 16:30:15 +0800,Fix origin-safe F01E trajectory labels,False,True,18,0,6,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
f01e-snr-smoke-01,e35f905f13745ff67adfb511d74d7d69237a5770,2026-09-16 18:39:39 +0800,Probe downstream SNR sensitivity on frozen F01E,False,True,22,0,2,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
f01e-snr-transition-02,a145be6749bc87353a4d8b5919754558df4cc464,2026-09-16 19:00:38 +0800,Probe low-SNR transition region,False,True,23,0,1,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
isac-redesign-probe-01,efb53ed524d706b93fba69cf8702f4a7e1f904e8,2026-09-16 21:32:46 +0800,Prototype controlled ISAC frontend,False,True,24,0,0,ISAC,keep as Stage-2 ISAC development branch; later rename to module/isac
main,8adc24c5791daaa6a27c986c9aeb1915e1c5e7c7,2026-09-14 17:27:13 +0800,Add BDX-01 QGNN bottleneck diagnostics,True,True,0,0,24,historical,keep as Stage-1 anchor (do not modify); tag stage1-meeting-freeze-20260915 once approved
maintenance/repo-cleanup,efb53ed524d706b93fba69cf8702f4a7e1f904e8,2026-09-16 21:32:46 +0800,Prototype controlled ISAC frontend,False,True,24,0,0,integration,temporary governance workspace; delete after cleanup acceptance
sens-audit-01,0cac17ba21c32e5c28548d7bc7f391f9e0345760,2026-09-15 17:02:45 +0800,Audit multi-target ISAC sensing frontend,False,True,1,0,23,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
sens-design-02,d04403005230574e362f863bf234ee9c65c4cd68,2026-09-15 19:43:35 +0800,Fix final sensing design math details,False,True,4,0,20,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
sens-freeze-07,9473d177078277891c776d80896b7353103077b3,2026-09-16 15:16:43 +0800,Freeze B64 sensing frontend and F01E interface,False,True,16,0,8,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
sens-rebuild-03a,e93a9875eef6d613df3735aea383f9fe77067725,2026-09-15 22:28:18 +0800,Fix shared echo geometry and calibration freeze,False,True,6,0,18,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
sens-rebuild-03b,71a9abfeff056345e59dbe2c9576335b8c146643,2026-09-16 01:56:01 +0800,Fix 03B calibration and audit scope,False,True,8,0,16,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
sens-snr-audit-04,495af522ebaea5140067abdea4f62d68c34e59fc,2026-09-16 08:42:17 +0800,Fix SNR audit evaluator to strict one-to-one matching,False,True,10,0,14,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
sens-snr-design-05,e2d59976f065b07bf7f5a761e8482bf0e329a749,2026-09-16 12:38:39 +0800,Probe contiguous sensing bursts,False,True,14,0,10,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
sens-snr-rebuild-06,f319faf357ee152a1ee1d4984d8eb33e19965ab1,2026-09-16 13:50:14 +0800,Implement B64 production sensing frontend,False,True,15,0,9,ISAC,"keep until stage0/stage1 tags are created, then delete (fully contained in Stage 2)"
