"path","current_role","problem","decision","new_role","required_changes","reuse_level","risk","rebuild03_priority"
"frontend/scene_manifest.py","A01 source preparation: NGSIM CSV -> episodes/splits/origins/source_states","none found in audit; source side, never model input","KEEP","unchanged A-domain source builder","no change; hashes recorded as baseline","high","low","P0"
"frontend/echo_source.py","Source adapter: SourceEpisodes/at_time (GT) and legacy observation()/iter_episode (shared echo via ofdm_echo)","at_time feeds oracle target lists; legacy observation path is unused by F01-D but mixes GT routing with observation","KEEP_AND_MODIFY","A-domain accessor only: SourceEpisodes/at_time for simulator; legacy observation()/iter_episode moved behind a reference flag or deleted from mainline","remove/deprecate observation()/iter_episode; keep at_time semantics unchanged; no B-domain callers","medium","low","P0"
"frontend/ofdm_echo.py","Legacy frequency-domain echo: clean_echo sums all targets, echo_cube adds one shared CN noise; radar-equation amplitude and FoV/range visibility","bound to old waveform (28 GHz/K=512/M=256/A=16) and old pipeline; not on F01-D path","REFERENCE_ONLY","formula source for new simulator (shared sum, (100/r)^2 amplitude, visibility gates, noise variance)","port formulas into frontend/sensing/simulator.py with new waveform/array; do not call from mainline","high (math)","low","P1"
"frontend/symbol_level_gpu.py","F01-D production kernel: per-target synthesize/divide/estimate","implements the audited oracle path (per-target X/Y/noise; optimizer on pre-separated target)","REFERENCE_ONLY","oracle/single-target refinement baseline for oracle-vs-sensing comparison and diagnostics","no mainline change; forbid use in B domain; keep hashes for oracle cache reproduction","high (oracle)","low","P3"
"frontend/symbol_level.py","CPU version of the same per-target estimator","same oracle structure; CPU generation already disabled","REFERENCE_ONLY","mathematical reference and unit-test oracle","no change; not imported by new code","medium","low","P3"
"frontend/generate_symbol_gpu.py","F01-D generation entry: per-target spectra/noise; detected/track_exists hard True","root cause of A/B/C/D audit failures","RETIRE_FROM_MAINLINE","superseded by frontend/sensing/simulator.py + streaming entry","keep file for F01-D reproduction; no new usage","low (entry scaffolding only)","low","P0"
"frontend/detector.py","Legacy 3D CA-CFAR (torch) + NMS + sidelobe suppression + parabolic interpolation + polar detection output","hard-coded to old waveform (A=16,K=512,M=256) and old config; polar measurement model","REFERENCE_ONLY","algorithm source for new frontend/sensing/detector.py","port CA-CFAR/NMS/interpolation/OoB rejection; adapt axes (K=N=256, A=16, oversample 2) and output schema; recalibrate Pfa","high (algorithms)","medium","P1"
"frontend/jpda.py","JPDA association marginals/mixture moments for legacy tracker","V1 uses Hungarian-class assignment only; JPDA is explicitly out of V1 scope","REFERENCE_ONLY","documented alternative for V1.2+; not used","no change; excluded from new tracker imports","low","low","P3"
"frontend/tracker.py","Anonymous central EKF/Hungarian tracker (polar per-station measurements, confirmation, coast, top-8)","measurement model needs per-station polar updates and radial velocity; V1 freezes position-only CV-KF on fused Cartesian observations","REFERENCE_ONLY","source of track state machine, F/Q, confirmation/coast/delete, non-GT top-8 policy","port state machine and policies into frontend/tracking/cv_kf.py; drop JPDA/mixture/per-station update; keep detected/exists semantics","high (state machine)","medium","P1"
"frontend/pack_symbol_dataset.py","F01-D packing: causal 20-frame windows, labels sidecar, metadata routing, sequence loaders","paths and keys bound to data/f01d and old sequence fields","KEEP_AND_MODIFY","same packing framework for data/f01e with new semantics of detected/track_exists","parameterise data root; add gt_match diagnostics to metadata (C domain); keep window/origin logic unchanged","high","medium","P2"
